Company,City,Industry,Email,Web,Source/Notes
Morillas,Barcelona,design-studio·branding,"careers@morillas.com, hola@morillas.com",morillas.com,Brand agency — publishes CAREERS email
Batllegroup,Barcelona,design-studio·branding,info@batllegroup.com,batllegroup.com,Branding agency
Comuniza,Barcelona,design-studio·branding,hola@comuniza.com,comuniza.com,Branding consultancy
Toormix,Barcelona,design-studio,"info@toormix.com, collaborate@toormix.studio",toormix.com,Design studio
DoubleYou,Barcelona,ads·digital,info@doubleyou.com,doubleyou.com,Pioneer digital-creative agency
Soon in Tokyo,Barcelona,ads,info@soonintokyo.com,soonintokyo.com,Indie creative agency
Manifiesto,Barcelona,ads·digital,info@manifiesto.biz,manifiesto.biz,Digital-creative agency
Little Buddha,Barcelona,design-studio·branding,barcelona@littlebuddhagroup.com,littlebuddhaagency.com,"Brand design, BCN+Madrid+Paris"
Forma & Co,Barcelona,design-studio,info@forma.co,forma.co,Design + illustration
Mucho,Barcelona,design-studio,barcelona@wearemucho.com,wearemucho.com,"Premium identities, BCN+SF"
Pimienta,Sant Cugat,ads·marketing,info@pimienta.biz,pimienta.biz,Local creative marketing agency
Adauge,Sant Cugat,marketing·digital,hola@adauge.com,adauge.com,Local digital marketing
Vilax,Sant Cugat,marketing,vilax@vilax.es,vilax.es,Local marketing agency
Sra. Rushmore,Madrid,ads,"jobs@srarushmore.com, newbusiness@srarushmore.com",srarushmore.com,Legendary indie agency — publishes JOBS email
El Ruso de Rocky,Madrid,ads,hola@elrusoderocky.com,elrusoderocky.com,Top indie creative agency
M&C Saatchi Madrid,Madrid,ads,hola@mcsaatchi.com,mcsaatchi.es,"Global network, Madrid office"
VCCP Madrid,Madrid,ads,newbusiness@vccp.com,vccp.com/offices/madrid,"Global agency, Madrid office"
Erretres,Madrid,design-studio·branding,"jobs@erretres.com, info@erretres.com",erretres.com,Top Madrid brand studio — publishes JOBS email
Filmin,Barcelona,cinema·streaming,contacto@filmin.es,filmin.es,Indie-cinema streaming platform — cinema DNA
A Contracorriente Films,Barcelona,cinema·distribution,info@acontracorrientefilms.com,acontracorrientefilms.com,Film distributor + producer
Brutal Media,Barcelona,production·TV,"talento@brutalmedia.tv, brutalmedia@brutalmedia.tv",brutalmedia.tv,Publishes a TALENT email
Goroka,Barcelona,production·documentary,info@goroka.tv,goroka.tv,Doc & branded storytelling
Minoria Absoluta,Barcelona,production·TV,minoriaabsoluta@minoriaabsoluta.com,minoriaabsoluta.com,Independent production co
Nude Project,Barcelona,fashion,hello@nudeproject.com,nudeproject.com,Hype BCN fashion brand
Pueblo Films,Barcelona,production,"info@pueblofilms.com, toni@pueblofilms.com",pueblofilms.com,APCP member
Bendita Gloria,Barcelona,design-studio,bg@benditagloria.com,benditagloria.com,Award-winning design studio
Base Design,Barcelona (verify office),design-studio,hello@basedesign.com,basedesign.com,Intl brand studio (BCN office — verify)
Hanzo,Barcelona,ads·digital,hello@hanzo.es,hanzo.es,Digital creative agency
&Rosàs,Barcelona+Madrid,ads,info@rosasagency.com,rosasagency.com,Top indie agency — voted best creative agency to work at in BCN
Honest,Barcelona,ads·strategy,hello@honestbarcelona.com,honestbarcelona.com,Indie creative agency
The George,Barcelona,ads·digital,info@iamthegeorge.com,iamthegeorge.com,Indie creative agency
TheCreativeAgency,Barcelona,ads,hello@thecreative.net,thecreativeagencybarcelona.com,Indie creative agency
Blackstone,Barcelona+Madrid,ads,toni@blackstonebarcelona.com,blackstonebarcelona.com,Creative agency BCN+Madrid
Åkerblom Studio,,production (FC directory),newstories@akerblomstudio.com,,Barcelona Film Commission directory
023. Think. Create. Produce.,,production (FC directory),info@es023.com,,Barcelona Film Commission directory
15L Films & Service,,production (FC directory),info@15-L.com,,Barcelona Film Commission directory
23 Unlimited,,production (FC directory),info@23unlimited.com,,Barcelona Film Commission directory
"24 imatges x segon, S.L.",,production (FC directory),correu@24ixs.net,,Barcelona Film Commission directory
3D Granollers,,production (FC directory),info@3dgranollers.com,,Barcelona Film Commission directory
"8 Artist Management / From Corsega, S.L.",,production (FC directory),info@8artistmanagement.com,,Barcelona Film Commission directory
"8kto Aerial Services, SL",,production (FC directory),info@8kto.com,,Barcelona Film Commission directory
Acció Preventiva,,production (FC directory),info@acciopreventiva.com,,Barcelona Film Commission directory
ACTEON,,production (FC directory),claudiozulian@acteon.es,,Barcelona Film Commission directory
Add2bee Creative,,production (FC directory),adrian@add2beecreative.com,,Barcelona Film Commission directory
ADN Play,,production (FC directory),info@adnplayfilms.com,,Barcelona Film Commission directory
"AJOC, Associació de Joves Cineastes (Escola de Cinema Jove)",,production (FC directory),correo.fuentedeideas@gmail.com,,Barcelona Film Commission directory
Aladid Studios,,production (FC directory),info@aladidstudios.com,,Barcelona Film Commission directory
Alba Sotorra,,production (FC directory),info@albasotorra.com,,Barcelona Film Commission directory
Alderartstudio SL,,production (FC directory),info@alderartstudio.com,,Barcelona Film Commission directory
Alex Iniesta Films,,production (FC directory),tv@alexiniesta.com,,Barcelona Film Commission directory
Alhena Production,,production (FC directory),info@alhena.cat,,Barcelona Film Commission directory
ALWAYS BUSY SERVICES S.L.,,production (FC directory),alpernia@alwaysbusy.tv,,Barcelona Film Commission directory
"Amor y Lujo, S.L.",,production (FC directory),diga@amorylujo.com,,Barcelona Film Commission directory
"Andergraun Films, S.L.",,production (FC directory),andergraunfilms@gmail.com,,Barcelona Film Commission directory
Androny Prod,,production (FC directory),andronyprod@gmail.com,,Barcelona Film Commission directory
Angolah Producciones,,production (FC directory),angolahproducciones@gmail.com,,Barcelona Film Commission directory
Animals The Hairy Experience SL,,production (FC directory),hello@animalsfilms.tv,,Barcelona Film Commission directory
Animation Box,,production (FC directory),manelvilas@animationbox.es,,Barcelona Film Commission directory
Annex Annex,,production (FC directory),hello@annex0.com,,Barcelona Film Commission directory
"Anou Audiovisuals, S.L.",,production (FC directory),info@anou.net,,Barcelona Film Commission directory
Antivaho Cinematográfico,,production (FC directory),info@antivahocine.com,,Barcelona Film Commission directory
Anythink- Creative Producers,,production (FC directory),kikeandreu@anythink.es,,Barcelona Film Commission directory
Apartool,,production (FC directory),productions@apartool.com,,Barcelona Film Commission directory
Apemanstudio,,production (FC directory),ape@apemanstudio.com,,Barcelona Film Commission directory
Arcadia Motion Pictures,,production (FC directory),info@arcadiamotionpictures.com,,Barcelona Film Commission directory
Arlong Productions,,production (FC directory),info@arlongproductions.com,,Barcelona Film Commission directory
"Art-Tronic Promotora Audiovisual, S.L.",,production (FC directory),promotora@art-tronic.es,,Barcelona Film Commission directory
Arte Soy S.L.,,production (FC directory),info@ladafilm.com,,Barcelona Film Commission directory
Associació de consumidors de mitjans audiovisuals de Catalunya - TAC,,production (FC directory),info@contraste.info,,Barcelona Film Commission directory
Associació de Professionals de Dansa de Catalunya - APDC,,production (FC directory),info@dansacat.org,,Barcelona Film Commission directory
Associació Inclús,,production (FC directory),info@inclus.cat,,Barcelona Film Commission directory
Astronaut Films & TV Content,,production (FC directory),hello@astronaut.productions,,Barcelona Film Commission directory
Atman Audiovisual S.L.,,production (FC directory),manuel@atmanaudiovisal.com,,Barcelona Film Commission directory
"Atzucac Films, S.L.",,production (FC directory),damia@atzucacfilms.com,,Barcelona Film Commission directory
Atzur Produccions,,production (FC directory),info@atzurproduccions.cat,,Barcelona Film Commission directory
Auca Films,,production (FC directory),info@aucafilms.com,,Barcelona Film Commission directory
AUDIV PRODUCTIONS,,production (FC directory),info@audivproduccions.com,,Barcelona Film Commission directory
AXHA Comunicació,,production (FC directory),axha@axha.cat,,Barcelona Film Commission directory
AXISFILMS SL,,production (FC directory),axisfilms@axisfilms.es,,Barcelona Film Commission directory
Ayala Studio,,production (FC directory),elena@ayalastudio.com,,Barcelona Film Commission directory
B-Mount Film,,production (FC directory),info@b-mount.com,,Barcelona Film Commission directory
The Bad Cat Company,,production (FC directory),badcat@badcat.cat,,Barcelona Film Commission directory
Baikal Pro S.L.,,production (FC directory),gilventura@baikalpro.com,,Barcelona Film Commission directory
BAMF Producciones,,production (FC directory),mail@bamfproducciones.com,,Barcelona Film Commission directory
"Bande à part - Escola de Cinema, SL",,production (FC directory),info@bandeapart.org,,Barcelona Film Commission directory
Barça Produccions S.L.,,production (FC directory),andrea.roig@studios.fcbarcelona.cat,,Barcelona Film Commission directory
Barberà Films,,production (FC directory),produccion@barberafilms.com,,Barcelona Film Commission directory
BARCELONA ANIMACIÓ,,production (FC directory),info@bcnanimacio.es,,Barcelona Film Commission directory
Barcelona Film Composers Collective,,production (FC directory),barcelonafilmcc@gmail.com,,Barcelona Film Commission directory
Barcelona Production,,production (FC directory),info@barcelonaproduction.com,,Barcelona Film Commission directory
Barcino Gifts,,production (FC directory),info@barcinogifts.com,,Barcelona Film Commission directory
Barking Horse Studios,,production (FC directory),productions@barkinghorsestudios.com,,Barcelona Film Commission directory
Bastian Films,,production (FC directory),bastian@bastianfilms.com,,Barcelona Film Commission directory
BCN DRONE PRODUCTIONS / VIMAX 3D60 AUDIOVISUALS,,production (FC directory),toni.vima@bcndroneproductions.es,,Barcelona Film Commission directory
BCN VISIONA TV,,production (FC directory),fcera@visiona.tv,,Barcelona Film Commission directory
BcnPhotoStudio,,production (FC directory),nicolau@bcnphotostudio.com,,Barcelona Film Commission directory
Bcnplay Estudi Audiovisual,,production (FC directory),contacto@bcnplay.com,,Barcelona Film Commission directory
"Benecé Produccions, S.L.",,production (FC directory),benece@benece.es,,Barcelona Film Commission directory
BeSenpai,,production (FC directory),luis@besenpai.com,,Barcelona Film Commission directory
BETA-DISC Produccions,,production (FC directory),info@beta-disc.com,,Barcelona Film Commission directory
BIDLAVIE S.L,,production (FC directory),martin.pons@linkvids.io,,Barcelona Film Commission directory
Bifilms,,production (FC directory),info@zeroiu.com,,Barcelona Film Commission directory
Bioimatge S.L.,,production (FC directory),info@bioimatge.com,,Barcelona Film Commission directory
Blackbox Productions SL,,production (FC directory),yes@blackbox.is,,Barcelona Film Commission directory
Blue Mobility & Healthcare Services,,production (FC directory),info@lafuente.cat,,Barcelona Film Commission directory
"Bonapassa, Cinema & Audiovisual Consulting, S.L.",,production (FC directory),info@bonapassa.com,,Barcelona Film Commission directory
Bonavista Multimèdia,,production (FC directory),info@bonamedia.com,,Barcelona Film Commission directory
"Bonita Films, S.L.",,production (FC directory),bonita@bonitafilms.es,,Barcelona Film Commission directory
Bonitaworld Media Productions SL,,production (FC directory),markus@bonitaworld.com,,Barcelona Film Commission directory
Boogaloo Films,,production (FC directory),info@boogaloofilms.com,,Barcelona Film Commission directory
Boom Creative,,production (FC directory),bastien@boom-creative.es,,Barcelona Film Commission directory
Krik Music – Boom Management,,production (FC directory),info@boomm.tv,,Barcelona Film Commission directory
Brainstormingfilms,,production (FC directory),info@brainstormingfilms.es,,Barcelona Film Commission directory
Broadcaster Content Agency,,production (FC directory),broadcaster@broadcaster.media,,Barcelona Film Commission directory
Bumpy Films,,production (FC directory),cliente@bumpyfilms.com,,Barcelona Film Commission directory
Byte Imatge Produccions S.L.,,production (FC directory),info@byteimatge.com,,Barcelona Film Commission directory
Cósmico,,production (FC directory),info@cosmico.tv,,Barcelona Film Commission directory
Canino Films,,production (FC directory),uep@caninofilms.com,,Barcelona Film Commission directory
Carlos Castillo Massaguer,,production (FC directory),info@carlescastillo.com,,Barcelona Film Commission directory
Carlos Rondón Fotógrafo,,production (FC directory),carlosrondon@carlosrondon.com,,Barcelona Film Commission directory
Carlos Rondón: Retrato Profesional,,production (FC directory),carlosrondon@carlosrondon.com,,Barcelona Film Commission directory
Carmel,,production (FC directory),hola@estudicarmel.com,,Barcelona Film Commission directory
Castelao Pictures S.L,,production (FC directory),filmax@filmax.com,,Barcelona Film Commission directory
Català Productions,,production (FC directory),info@catalaproductions.com,,Barcelona Film Commission directory
Cautor Films,,production (FC directory),cautorfilms@gmail.com,,Barcelona Film Commission directory
Centipede Films,,production (FC directory),centipede@centipedefilms.com,,Barcelona Film Commission directory
CIATRE – Associació de Companyies de Teatre Professional de Catalunya,,production (FC directory),ciatre@ciatre.com,,Barcelona Film Commission directory
CINEXTRAS PRODUCTION SL,,production (FC directory),info@cinextras.it,,Barcelona Film Commission directory
CIRICI & LA CREATIVA S.L.,,production (FC directory),sara@lacreativa.com,,Barcelona Film Commission directory
Citoplasmas Stop Motion Animation,,production (FC directory),animate@citoplasmas.com,,Barcelona Film Commission directory
Clack Audiovisual SCCL,,production (FC directory),info@clack.cat,,Barcelona Film Commission directory
"Claraboia Audiovisual, SCCL",,production (FC directory),cv@claraboia.coop,,Barcelona Film Commission directory
Colmado,,production (FC directory),david@colmado.tv,,Barcelona Film Commission directory
COMETA,,production (FC directory),cris@cometaproduce.com,,Barcelona Film Commission directory
Contraria Media,,production (FC directory),info@contrariamedia.com,,Barcelona Film Commission directory
Cookify sl,,production (FC directory),ricard@cookify.es,,Barcelona Film Commission directory
Copilotos,,production (FC directory),info@copilotos.com,,Barcelona Film Commission directory
Corsair Films,,production (FC directory),consultas@corsairfilms.es,,Barcelona Film Commission directory
Costa Est Audiovisual i Comunicació S.L.,,production (FC directory),info@costaestaudiovisuals.tv,,Barcelona Film Commission directory
Crazyforlocas (Vilassar),,production (FC directory),yoya@crazyforlocas.com,,Barcelona Film Commission directory
Creueta119,,production (FC directory),hola@creueta119.cat,,Barcelona Film Commission directory
Cristian Sitjas,,production (FC directory),cristiansitjasm@gmail.com,,Barcelona Film Commission directory
Cube Post,,production (FC directory),info@cube-post.com,,Barcelona Film Commission directory
Custom Films,,production (FC directory),alena.vilanova@customfilms.tv,,Barcelona Film Commission directory
D0C70R 7R0Y,,production (FC directory),info@doctroy.com,,Barcelona Film Commission directory
Dagoll Dagom,,production (FC directory),info@dagolldagom.com,,Barcelona Film Commission directory
David Rueda Visuals,,production (FC directory),ruedafoto@gmail.com,,Barcelona Film Commission directory
"Davima Motors, S.L.",,production (FC directory),barcelona@davima.net,,Barcelona Film Commission directory
DeAPlaneta,,production (FC directory),prensa@deaplaneta.com,,Barcelona Film Commission directory
Dedo Ciego,,production (FC directory),hola@dedociego.com,,Barcelona Film Commission directory
DELAROSA FILMS,,production (FC directory),info@delarosafilms.com,,Barcelona Film Commission directory
Delirio AI Film Production House,,production (FC directory),studio@delirio.ai,,Barcelona Film Commission directory
